Name,Artist,Album,Track Number
Closing Time,Semisonic,Feeling Strangely Fine,1
One Headlight,The Wallflowers,Bringing Down The Horse,1
Only Wanna Be With You,Hootie & The Blowfish,Cracked Rear View,4
Relator,"Pete Yorn, Scarlett Johansson",Break Up,1
Cannonball,Damien Rice,O,4
Now Is The Start,A Fine Frenzy,PINES,12
Torn,Natalie Imbruglia,Left Of The Middle,1
You`ve Got A Friend,James Taylor,You've Got A Friend,3
Accidentally In Love,Counting Crows,Films About Ghosts: The Best Of...,17
Breathe (2 AM),A Lot Like Love (Music From The Motion Picture),A Lot Like Love - Music From The Motion Picture,12
Semi-Charmed Life (2006 Remastered Version),Third Eye Blind,A Collection,1
Get to You,Matt Wertz,Heatwave,1
Everything You Want,Vertical Horizon,Everything You Want,3
Don't Dream It's Over,Crowded House,The Very Very Best Of Crowded House,29
This Love,Tyrone Wells,This Love,4
Wires,Athlete,Tourist,5
Take A Bow,Greg Laswell,Take A Bow,6
Unwritten,Natasha Bedingfield,Unwritten,4
Last Goodbye,Jeff Buckley,So Real: Songs From Jeff Buckley,1
Hey Jealousy,Gin Blossoms,New Miserable Experience,2
The Ghost In You,Duncan Sheik,Covers 80's,12
Stolen,Dashboard Confessional,Dusk And Summer,4
Hands Clean,Alanis Morissette,Under Rug Swept,3
Hopeful,Josh Ritter,The Beast In Its Tracks,4
Talkin' Bout A Revolution,Tracy Chapman,Tracy Chapman,1
So This Is Goodbye (Pink Ganter Remix),William Fitzsimmons,Derivatives,7
This Ain't a Love Song,Scouting For Girls,This Ain't a Love Song,1
I'll Be,Edwin McCain,I'll Be / Grind Me In The Gears [Digital 45] (w/ PDF),1
Karma,Joss Stone,LP1,2
Live Like We're Dying,American Idol,10th Anniversary - The Hits - Volume 1,10
High (Full Length Version),Lighthouse Family,Greatest Hits (UK CD),3
Everywhere,Michelle Branch,The Spirit Room,1
December,Collective Soul,Collective Soul,5
Start A Fire,Ryan Star,11:59,8
Brighter Than Sunshine (Album Version),A Lot Like Love (Music From The Motion Picture),A Lot Like Love - Music From The Motion Picture,9
You Were Meant For Me,Jewel,Pieces Of You,10
Sideways,Citizen Cope,The Clarence Greenwood Recordings,5
Bitchcraft,Drake Bell,Bitchcraft,1
Four To The Floor,Starsailor,Silence Is Easy,9
Lonely No More,Rob Thomas,Something To Be (Deluxe),2
Me And Liza,Rufus Wainwright,Vibrate: The Best Of,3
Don't Uncork What You Can't Contain,Suzanne Vega,Tales from the Realm of the Queen of Pentacles,5
Violin,Amos Lee,Mission Bell,3
I Knew I Loved You,Savage Garden,Affirmation,3
Love,Matt White,Best Days,5
Hello Mr. Sun,Joe Brooks,Constellation Me,7
New Constellation,Toad The Wet Sprocket,New Constellation,1
Long Time,Cake,Showroom of Compassion,2
Talk Me Down,Willy Mason,Carry On,3
Ride,Cary Brothers,Who You Are,2
Red,Daniel Merriweather,Love & War,6
God Gave Me You,Dave Barnes,"What We Want, What We Get",2
The Guy That Says Goodbye To You Is Out Of His Mind,Griffin House,Flying Upside Down,5
Sydney (I'll Come Running),Brett Dennen,Loverboy,5
To Be Alone With You,Joshua James,Seven Swans Reimagined,4
I Was Gonna Marry You,Tristan Prettyman,Cedar + Gold,4
Cupid,Daniel Powter,Turn On the Lights,1
Insatiable,Darren Hayes,Spin,2
Snake Road,Ron Sexsmith,Forever Endeavour,4
Glow,Donavon Frankenreiter,Glow,2
I've Been Waiting for This,Butch Walker,Peachtree Battle - EP,1
Time and Money,Turin Brakes,We Were Here,1
Rockin' the Suburbs,Ben Folds,The Best Imitation Of Myself: A Retrospective,10
The Lime Tree,Trevor Hall,Trevor Hall,4
Charmer,Aimee Mann,Charmer - Single,1
Find A Way,SafetySuit,Life Left To Go,3
Once Around The Block,Badly Drawn Boy,Once Around The Block,1
Dice (Album version),Finley Quaye,Much More Than Much Love,3
Fired Up,Hanson,Anthem,1
Permanent,David Cook,David Cook,11
Heart Hypnotic,Delta Goodrem,Heart Hypnotic,1
Beautiful Disaster,Jon McLaughlin,Indiana,2
Just The Girl,The Click Five,Greetings From Imrie House,2
Lullaby,Shawn Mullins,Soul's Core,2
Afternoons & Coffeespoons,Crash Test Dummies,God Shuffled His Feet,2
Victoria,Eve 6,Speak In Code,2
Endlessly,Green River Ordinance,Out Of My Hands,11
The Ocean,Josh Rouse,The Happiness Waltz,11
Carousel,Vanessa Carlton,Rabbits on the Run,1
